timestamp,open,high,low,close,volume
2020-01-01 00:00:00,100.0671,100.0836,100.0157,100.0497,6111.0
2020-01-01 00:01:00,100.05,100.0511,100.0206,100.0358,1999.0
2020-01-01 00:02:00,100.0538,100.1305,100.0707,100.1006,3643.0
2020-01-01 00:03:00,100.2819,100.2584,100.2474,100.2529,1066.0
2020-01-01 00:04:00,100.155,100.2894,100.1696,100.2295,5883.0
2020-01-01 00:05:00,100.1734,100.2446,100.1675,100.2061,8805.0
2020-01-01 00:06:00,100.2641,100.4141,100.314,100.364,3674.0
2020-01-01 00:07:00,100.5187,100.4798,100.4017,100.4408,140.0
2020-01-01 00:08:00,100.3822,100.4362,100.3514,100.3938,7081.0
2020-01-01 00:09:00,100.5564,100.489,100.4071,100.4481,362.0
2020-01-01 00:10:00,100.4419,100.4478,100.3556,100.4017,8245.0
2020-01-01 00:11:00,100.3776,100.3977,100.3126,100.3551,9324.0
2020-01-01 00:12:00,100.35,100.4451,100.3136,100.3793,1919.0
2020-01-01 00:13:00,100.1357,100.2113,100.1647,100.188,227.0
2020-01-01 00:14:00,100.0417,100.0567,99.9744,100.0155,2678.0
2020-01-01 00:15:00,99.9557,99.9614,99.9572,99.9593,5951.0
2020-01-01 00:16:00,99.791,99.9117,99.8043,99.858,8037.0
2020-01-01 00:17:00,99.8136,99.9124,99.8665,99.8894,3311.0
2020-01-01 00:18:00,99.7507,99.8344,99.7629,99.7986,9185.0
2020-01-01 00:19:00,99.7485,99.7471,99.5677,99.6574,2906.0
2020-01-01 00:20:00,99.9146,99.8812,99.7267,99.804,2379.0
2020-01-01 00:21:00,99.7916,99.8116,99.7512,99.7814,7176.0
2020-01-01 00:22:00,99.7956,99.8562,99.7201,99.7881,5787.0
2020-01-01 00:23:00,99.6289,99.6489,99.6424,99.6457,8026.0
2020-01-01 00:24:00,99.5445,99.6295,99.553,99.5912,1887.0
2020-01-01 00:25:00,99.6711,99.6762,99.5284,99.6023,4832.0
2020-01-01 00:26:00,99.5809,99.4995,99.4749,99.4872,2279.0
2020-01-01 00:27:00,99.4801,99.5376,99.512,99.5248,8468.0
2020-01-01 00:28:00,99.4606,99.55,99.3795,99.4647,3223.0
2020-01-01 00:29:00,99.4131,99.4397,99.4314,99.4356,5765.0
2020-01-01 00:30:00,99.3544,99.4166,99.3342,99.3754,8313.0
2020-01-01 00:31:00,99.6199,99.6079,99.5133,99.5606,752.0
2020-01-01 00:32:00,99.4937,99.5845,99.534,99.5593,3490.0
2020-01-01 00:33:00,99.4768,99.4806,99.4264,99.4535,9074.0
2020-01-01 00:34:00,99.5722,99.6346,99.4369,99.5358,8459.0
2020-01-01 00:35:00,99.4066,99.4384,99.3889,99.4137,9353.0
2020-01-01 00:36:00,99.4792,99.4498,99.4193,99.4346,9164.0
2020-01-01 00:37:00,99.246,99.2542,99.2229,99.2386,1881.0
2020-01-01 00:38:00,99.1666,99.1367,99.0748,99.1058,5966.0
2020-01-01 00:39:00,99.0493,99.2247,99.0262,99.1255,7183.0
2020-01-01 00:40:00,99.1819,99.2055,99.1931,99.1993,9688.0
2020-01-01 00:41:00,99.2128,99.2273,99.2056,99.2164,8923.0
2020-01-01 00:42:00,99.0713,99.2178,99.1919,99.2049,1701.0
2020-01-01 00:43:00,99.1205,99.181,99.1685,99.1748,2981.0
